user,r_u_bar
0,3.761904761904762
1,4.166666666666667
2,4.0
3,3.261904761904762
4,3.471014492753623
5,3.8
6,3.725
7,3.616279069767442
8,4.0
9,3.933333333333333
10,3.740740740740741
11,3.25
12,3.1739130434782608
13,3.8333333333333335
14,4.0
15,3.8
16,3.4838709677419355
17,4.0
18,4.142857142857143
19,3.6176470588235294
20,3.9583333333333335
21,4.0
22,4.069230769230769
23,3.5
24,3.727272727272727
25,3.727272727272727
26,4.0
27,3.8157894736842106
28,4.0
29,3.0
30,1.0
31,3.8181818181818183
32,4.0
33,4.25
34,3.7241379310344827
35,4.2
36,4.333333333333333
37,4.554054054054054
38,3.6463414634146343
39,4.0
40,3.5
41,4.92
42,3.657142857142857
43,4.6
44,3.6666666666666665
45,3.0
46,3.7435897435897436
47,3.4535714285714287
48,4.375
49,3.6618357487922704
50,3.8333333333333335
51,3.8
52,3.7253521126760565
53,4.0
54,1.8
55,4.5
56,5.0
57,3.875
58,3.5454545454545454
59,4.0
60,3.9302325581395348
61,4.0
62,3.72
63,1.8
64,3.420886075949367
65,3.528205128205128
66,4.030612244897959
67,4.0
68,3.8941176470588235
69,3.6923076923076925
70,3.7974683544303796
71,4.6
72,3.0
73,3.8947368421052633
74,4.181818181818182
75,4.333333333333333
76,4.5
77,3.935483870967742
78,4.0
79,5.0
80,4.0
81,3.71900826446281
82,3.506172839506173
83,5.0
84,4.0
85,4.166666666666667
86,4.0
87,4.0
88,4.0
89,3.888888888888889
90,3.3333333333333335
91,4.0
92,4.0
93,3.8
94,4.0
95,3.744
96,3.0
97,4.3076923076923075
98,4.0
99,4.0
100,3.75
101,3.8947368421052633
102,4.052631578947368
103,4.0
104,4.0
105,4.0
106,5.0
107,4.3
108,3.0
109,5.0
110,3.5
111,4.2
112,4.0
113,4.4
114,3.85
115,4.0
116,4.0
117,3.5
118,4.333333333333333
119,5.0
120,4.4
121,4.213235294117647
122,3.4285714285714284
123,3.5217391304347827
124,2.5714285714285716
125,3.4375
126,3.9649122807017543
127,3.25
128,4.25
129,4.125
130,5.0
131,3.9285714285714284
132,4.0
133,4.5
134,3.869565217391304
135,4.333333333333333
136,3.3333333333333335
137,3.5714285714285716
138,3.0
139,2.5
140,3.5
141,3.7777777777777777
142,4.0
143,3.7868852459016393
144,2.5
145,4.0
146,3.6666666666666665
147,3.75
148,3.7333333333333334
149,1.8
150,4.733333333333333
151,4.25
152,3.45
153,4.0625
154,3.2222222222222223
155,3.0
156,3.759493670886076
157,5.0
158,3.9
159,5.0
160,1.0
161,1.0
162,4.0
163,4.0
164,3.6666666666666665
165,4.833333333333333
166,3.6363636363636362
167,3.6666666666666665
168,3.25
169,3.75
170,3.8461538461538463
171,3.9272030651340994
172,2.0
173,3.3333333333333335
174,3.857142857142857
175,3.6470588235294117
176,5.0
177,4.75
178,4.357142857142857
179,3.9583333333333335
180,4.090909090909091
181,3.5
182,3.5
183,4.0
184,4.0
185,3.526315789473684
186,3.6923076923076925
187,4.714285714285714
188,5.0
189,3.95
190,3.5652173913043477
191,3.6666666666666665
192,4.0
193,3.6794871794871793
194,3.7
195,3.8
196,4.0
197,2.0
198,3.642857142857143
199,3.0
200,3.0
201,3.6052631578947367
202,3.413793103448276
203,3.8333333333333335
204,2.75
205,4.0
206,3.7027027027027026
207,3.5
208,4.636363636363637
209,3.994301994301994
210,3.7951807228915664
211,3.59375
212,3.357142857142857
213,3.403587443946188
214,3.184971098265896
215,3.6178861788617884
216,3.5384615384615383
217,3.685267857142857
218,3.5109649122807016
219,3.9296875
220,3.857142857142857
221,3.616600790513834
222,2.9411764705882355
223,1.0
224,3.259774109470026
225,3.608695652173913
226,3.6463414634146343
227,3.565068493150685
228,3.5
229,3.5
230,5.0
231,3.4210526315789473
232,4.5
233,5.0
234,5.0
235,3.808
236,4.0
