item,r_i_bar
0,3.38255033557047
1,4.123076923076923
2,3.5255905511811023
3,4.833333333333333
4,3.8957286432160805
5,3.7223264540337713
6,3.9022842639593907
7,3.191358024691358
8,3.641509433962264
9,3.7866666666666666
10,3.505859375
11,3.5142857142857142
12,4.261627906976744
13,3.8542094455852154
14,3.9035087719298245
15,3.9855072463768115
16,3.145776566757493
17,3.3945945945945946
18,3.506198347107438
19,4.0242914979757085
20,3.8579520697167755
21,3.769230769230769
22,3.8617353308364546
23,4.276089828269485
24,4.125
25,3.6470588235294117
26,3.314410480349345
27,3.717528373266078
28,3.3797468354430378
29,4.1875
30,3.784313725490196
31,4.263659699303264
32,3.3834586466165413
33,4.005278310940499
34,4.2935483870967746
35,3.600431965442765
36,3.5298329355608593
37,3.2450090744101634
38,4.12210200927357
39,3.6543624161073827
40,3.882857142857143
41,3.825
42,3.7786561264822134
43,3.7805092186128184
44,3.9196317491913413
45,3.754461871281774
46,3.9347826086956523
47,3.9136690647482015
48,3.8929440389294405
49,3.8787465940054497
50,3.8875
51,3.9703557312252964
52,3.593128390596745
53,3.741007194244604
54,3.5584415584415585
55,3.8095238095238093
56,3.982456140350877
57,3.888888888888889
58,3.5916955017301038
59,3.7162079510703365
60,3.4545454545454546
61,3.9244114002478314
62,3.976387249114522
63,3.7126436781609193
64,3.452054794520548
65,3.446731234866828
66,4.015618221258134
67,3.8762886597938144
68,3.863157894736842
69,3.6202531645569622
70,3.7599337748344372
71,3.6954545454545453
72,3.8471953578336557
73,3.5121107266435985
74,3.7676678445229683
75,3.2841463414634147
76,3.506415739948674
77,4.109075770191507
78,4.235976789168278
79,3.75
80,3.7476340694006307
81,3.8493071593533488
82,3.8272251308900525
83,3.5770171149144256
84,3.9404255319148938
85,3.9876923076923076
86,3.6880811496196113
87,3.5
88,4.291666666666667
89,3.28328173374613
90,3.363295880149813
91,4.1192504258943785
92,4.21256038647343
93,3.912133891213389
94,3.827338129496403
95,3.8363136176066024
96,3.477272727272727
97,3.8203309692671397
98,3.966557911908646
99,3.7473821989528795
100,3.596842105263158
101,4.010989010989011
102,3.2738095238095237
103,3.828207381370826
104,3.4516369047619047
105,3.6914893617021276
106,3.6549912434325744
107,3.5886524822695036
108,3.8530868273357544
109,4.026172300981461
110,3.969439728353141
111,4.206730769230769
112,3.64
113,3.7490512333965844
114,3.244186046511628
115,3.657303370786517
116,3.8284080076263107
117,4.014218009478673
118,3.9133192389006344
119,3.879850238257318
120,4.369905956112853
121,3.617021276595745
122,4.041884816753926
123,4.382352941176471
124,3.7650602409638556
125,3.8343023255813953
126,3.7738791423001947
127,3.4922118380062304
128,3.8011049723756907
129,3.811046511627907
130,3.9955197132616487
131,3.8814814814814813
132,3.4523809523809526
133,3.3287037037037037
134,3.9118329466357307
135,3.7103139013452915
136,3.8033946251768036
137,3.7219796215429404
138,3.616822429906542
139,3.5428973277074545
140,3.844611528822055
141,3.3529411764705883
142,4.206896551724138
143,3.9184782608695654
144,4.0
145,3.7396464034875274
146,3.4328358208955225
147,3.668599033816425
148,3.50390625
149,4.0184049079754605
150,3.850479233226837
151,4.0667752442996745
152,3.9743589743589745
153,3.8607594936708862
154,3.9072532699167657
155,3.6625067824199675
156,3.874307862679956
157,3.61144578313253
158,3.46875
159,3.6219839142091153
160,4.088888888888889
161,3.2176470588235295
162,4.345238095238095
163,3.9126666666666665
164,3.5526315789473686
165,3.9209302325581397
166,3.47
167,3.883259911894273
168,3.749691738594328
169,3.673835125448029
170,3.675675675675676
171,3.56551724137931
172,3.5994152046783627
173,3.857320613853173
174,3.904255319148936
175,3.793594306049822
176,4.012345679012346
177,3.891891891891892
178,3.8603066439523
179,3.98379970544919
180,3.5042735042735043
181,4.105863192182411
182,3.9214876033057853
183,3.54477050413845
184,3.6125
185,3.593001841620626
186,3.628169014084507
187,3.531400966183575
188,4.178743961352657
189,3.4477611940298507
190,3.666786098172698
191,3.15625
192,3.5269016697588125
193,3.658536585365854
194,3.616822429906542
195,3.6067344345616266
196,4.126556016597511
197,3.2756756756756755
198,3.723981900452489
199,3.8999227202472952
200,3.6923076923076925
201,3.883307965499746
202,3.786843447220806
203,3.6645569620253164
204,3.968696642003415
205,3.7701949860724233
206,3.7854030501089326
207,3.7458432304038003
